Tag Counts:
Tag,Count
SV_P3,524
email,1616
sv_P1,1083
sv_P2,1116
sv_P4,539
sv_P5,1061
Untagged,44061

Port/Protocol Combination Counts:
Port,Protocol,Count
0,icmp,522
0,tcp,543
0,udp,583
1064,icmp,529
1064,tcp,513
1064,udp,554
110,icmp,590
110,tcp,558
110,udp,570
143,icmp,542
143,tcp,520
143,udp,514
1554,icmp,513
1554,tcp,548
1554,udp,587
1683,icmp,510
1683,tcp,536
1683,udp,487
17462,icmp,505
17462,tcp,524
17462,udp,535
17921,icmp,533
17921,tcp,511
17921,udp,563
22,icmp,487
22,tcp,539
22,udp,507
23,icmp,558
23,tcp,528
23,udp,537
23778,icmp,503
23778,tcp,566
23778,udp,549
25,icmp,532
25,tcp,555
25,udp,536
25279,icmp,536
25279,tcp,543
25279,udp,528
2776,icmp,547
2776,tcp,535
2776,udp,535
31,icmp,579
31,tcp,520
31,udp,524
3389,icmp,561
3389,tcp,539
3389,udp,562
36717,icmp,527
36717,tcp,533
36717,udp,561
39881,icmp,501
39881,tcp,558
39881,udp,528
40570,icmp,535
40570,tcp,550
40570,udp,520
42143,icmp,570
42143,tcp,494
42143,udp,506
44273,icmp,529
44273,tcp,467
44273,udp,524
443,icmp,536
443,tcp,536
443,udp,588
44799,icmp,563
44799,tcp,569
44799,udp,542
47554,icmp,572
47554,tcp,514
47554,udp,534
47785,icmp,515
47785,tcp,564
47785,udp,579
48127,icmp,547
48127,tcp,538
48127,udp,570
5467,icmp,540
5467,tcp,514
5467,udp,531
57167,icmp,539
57167,tcp,522
57167,udp,533
61727,icmp,553
61727,tcp,539
61727,udp,538
68,icmp,559
68,tcp,515
68,udp,580
993,icmp,506
993,tcp,538
993,udp,527

Processed Lines: 50000
Skipped Lines: 0
