Tag Counts:
Tag,Count
dns,216
http,193
http_alt,201
https,251
mail_imap,203
mail_imap_ssl,212
mail_pop3,200
mail_smtp,204
mssql,1
mysql,216
postgresql,205
rdp,198
ssh,225
Untagged,7475

Port/Protocol Combination Counts:
Port,Protocol,Count
10135,tcp,1
10569,tcp,1
10611,tcp,1
10648,icmp,1
10755,tcp,1
10759,udp,1
10993,icmp,1
110,icmp,191
110,tcp,200
110,udp,211
11023,tcp,1
11116,udp,1
11208,icmp,1
11216,udp,1
11243,udp,1
11632,tcp,1
11644,udp,1
11695,icmp,1
11779,tcp,1
11802,icmp,1
12023,tcp,1
12157,tcp,1
123,icmp,187
123,tcp,203
123,udp,198
12342,udp,1
12632,icmp,1
12643,udp,1
12655,icmp,1
12858,udp,1
12941,udp,1
1295,tcp,1
13226,icmp,1
13233,icmp,1
13276,udp,1
13281,udp,1
13502,tcp,1
13580,icmp,1
13621,icmp,1
13694,icmp,1
13758,icmp,1
13814,icmp,1
14017,tcp,1
1403,udp,1
143,icmp,217
143,tcp,203
143,udp,232
1433,tcp,1
14499,icmp,1
14515,icmp,1
14522,tcp,1
14577,udp,1
14652,icmp,1
15098,tcp,1
15286,tcp,1
15315,icmp,1
15348,udp,1
15375,udp,1
15502,udp,1
15613,icmp,1
15706,tcp,1
15776,udp,1
15841,tcp,1
15885,tcp,1
15932,icmp,1
16198,tcp,1
16232,icmp,1
16259,udp,1
16403,icmp,1
16518,udp,1
16947,udp,1
16953,tcp,1
17004,tcp,1
17021,icmp,1
17214,tcp,1
17373,udp,1
17603,udp,1
17630,udp,1
17812,tcp,1
17952,udp,1
18057,udp,1
1811,udp,1
18257,udp,1
18354,udp,1
18451,tcp,1
18469,udp,1
18509,tcp,1
18625,udp,1
18820,tcp,1
18849,udp,1
18898,udp,1
18961,icmp,1
19122,tcp,1
19124,udp,1
19154,icmp,1
19257,icmp,1
19303,udp,1
19481,udp,1
1953,tcp,1
19674,tcp,1
19940,icmp,1
20008,icmp,1
2003,tcp,1
20149,udp,1
20274,icmp,1
20305,icmp,1
20449,udp,1
20628,icmp,1
20662,tcp,1
20670,tcp,1
20734,tcp,1
20772,udp,1
20886,tcp,1
21031,icmp,1
21052,tcp,1
2109,tcp,1
21181,icmp,1
21374,udp,1
21414,icmp,1
21498,tcp,1
21533,udp,1
21736,icmp,1
21745,tcp,1
21757,icmp,1
21999,udp,1
22,icmp,196
22,tcp,225
22,udp,218
22084,udp,1
22197,icmp,1
22256,udp,1
22325,icmp,1
22479,icmp,1
22526,icmp,1
22752,udp,1
22839,udp,1
22886,tcp,1
23143,tcp,1
23192,icmp,1
23272,udp,1
2336,udp,1
23516,icmp,1
23556,udp,1
23569,udp,1
23697,icmp,1
23842,udp,1
23927,udp,1
24139,tcp,1
24501,tcp,1
24519,tcp,1
24624,tcp,1
24650,tcp,1
2469,icmp,1
24710,icmp,1
24788,udp,1
24803,icmp,1
24843,icmp,1
25,icmp,223
25,tcp,204
25,udp,197
25214,udp,1
25285,icmp,1
25355,icmp,1
25391,icmp,1
25432,tcp,1
25497,udp,1
25743,udp,1
25751,udp,1
25803,udp,1
25849,udp,1
25897,icmp,1
25923,icmp,1
26047,tcp,1
26058,icmp,1
26083,udp,1
26096,icmp,1
26097,tcp,1
26533,tcp,1
26826,udp,1
26841,icmp,1
26847,icmp,1
26872,icmp,1
26886,udp,1
27015,udp,1
2729,tcp,1
2739,tcp,1
27490,tcp,1
27604,udp,1
27671,icmp,1
27688,icmp,1
27734,tcp,1
27880,udp,1
27913,icmp,1
2792,udp,1
28105,udp,1
28113,udp,1
28272,icmp,1
2831,icmp,1
28527,udp,1
28551,icmp,1
28678,udp,1
28744,icmp,1
29080,tcp,1
29184,tcp,1
29190,icmp,1
29278,udp,1
29586,icmp,1
29714,icmp,1
29787,tcp,1
29920,tcp,1
30087,icmp,1
30230,tcp,1
30469,udp,1
30490,tcp,1
30779,tcp,1
30901,icmp,1
30908,udp,1
30917,icmp,1
30959,udp,1
31033,icmp,1
3119,tcp,1
31227,udp,1
31303,icmp,1
31375,udp,1
31674,tcp,1
31694,udp,1
31740,icmp,1
31846,udp,1
31880,icmp,1
31992,udp,1
32235,tcp,1
32280,tcp,1
32345,tcp,1
32379,icmp,1
32543,icmp,1
32640,icmp,1
32640,udp,1
32797,tcp,1
32948,icmp,1
33055,icmp,1
3306,icmp,199
3306,tcp,216
3306,udp,218
33087,icmp,1
33135,udp,1
33161,udp,1
3326,tcp,1
3332,udp,1
33329,tcp,1
33565,udp,1
3370,udp,1
33744,udp,1
33841,tcp,1
3389,icmp,240
3389,tcp,198
3389,udp,204
34050,tcp,1
34304,icmp,1
34514,tcp,1
34522,udp,1
34634,udp,1
34768,udp,1
34824,udp,1
34921,icmp,1
34949,udp,1
34968,icmp,1
35025,tcp,1
35066,tcp,1
35234,icmp,1
35266,tcp,1
35280,udp,1
35346,icmp,1
35391,udp,1
35402,icmp,1
3543,tcp,1
35438,tcp,1
35542,icmp,1
35553,udp,1
35571,tcp,1
35573,udp,1
35620,icmp,1
35660,icmp,1
35934,udp,1
3602,icmp,1
36137,tcp,1
3615,tcp,1
36185,icmp,1
36508,tcp,1
36697,tcp,1
36740,udp,1
3682,udp,1
36844,udp,1
36952,udp,1
37002,tcp,1
37101,tcp,1
37218,tcp,1
3724,icmp,1
3734,icmp,1
37437,icmp,1
37506,tcp,1
37713,tcp,1
37720,icmp,1
37905,icmp,1
37910,icmp,1
38247,udp,1
38294,tcp,1
38348,icmp,1
38427,tcp,1
38436,udp,1
38608,tcp,1
38740,icmp,1
38759,tcp,1
38816,tcp,1
38870,icmp,1
38987,tcp,1
39014,tcp,1
39058,icmp,1
39158,udp,1
39173,udp,1
39199,tcp,1
39393,udp,1
39453,icmp,1
39878,tcp,1
39893,tcp,1
39905,tcp,1
3993,icmp,1
39998,udp,1
40015,tcp,1
40076,tcp,1
40118,udp,1
40191,udp,1
40302,tcp,1
40317,tcp,1
40392,tcp,1
40412,icmp,1
40444,tcp,1
40568,tcp,1
40656,udp,1
40727,tcp,1
4106,udp,1
41162,tcp,1
41213,tcp,1
41282,tcp,1
41299,icmp,1
41311,udp,1
41335,tcp,1
41668,icmp,1
41679,icmp,1
41957,tcp,1
42158,udp,1
42183,tcp,1
42200,tcp,1
42402,tcp,1
42478,icmp,1
42509,tcp,1
42537,udp,1
42634,icmp,1
42638,udp,1
4271,tcp,1
42770,udp,1
42885,icmp,1
43012,icmp,1
43172,tcp,1
43284,icmp,1
43384,udp,1
43392,icmp,1
4341,udp,1
43490,icmp,1
43543,udp,1
44040,icmp,1
44054,tcp,1
44122,icmp,1
44173,icmp,1
44230,tcp,1
44259,icmp,1
443,icmp,193
443,tcp,251
443,udp,195
44375,udp,1
4470,icmp,1
44773,udp,1
44818,icmp,1
44910,tcp,1
44993,tcp,1
45013,icmp,1
45182,udp,1
45200,icmp,1
45223,tcp,1
45271,icmp,1
45329,icmp,1
45406,udp,1
45586,icmp,1
45629,icmp,1
4566,icmp,1
45894,icmp,1
45902,udp,1
45926,tcp,1
45982,icmp,1
46063,icmp,1
46185,icmp,1
46277,tcp,1
46283,tcp,1
46303,udp,1
46372,tcp,1
46390,tcp,1
46401,udp,1
46406,tcp,1
46414,icmp,1
46449,udp,1
46463,tcp,1
465,icmp,206
465,tcp,196
465,udp,190
46531,udp,1
46660,udp,1
46833,tcp,1
46910,icmp,1
4699,icmp,1
4727,tcp,1
47427,tcp,1
47474,tcp,1
47483,udp,1
47523,udp,1
47571,udp,1
47769,udp,1
47842,tcp,1
47893,icmp,1
47895,icmp,1
48106,udp,1
48526,udp,1
48677,tcp,1
4871,tcp,1
48776,icmp,1
48804,icmp,1
4889,udp,1
49009,udp,1
49054,tcp,1
4906,udp,1
49076,tcp,1
49096,tcp,1
49249,tcp,1
49253,icmp,1
49458,icmp,1
49868,icmp,1
50008,udp,1
5001,tcp,1
50042,udp,1
50069,udp,1
50279,tcp,1
50495,icmp,1
50514,tcp,1
50553,udp,1
5075,icmp,1
50854,tcp,1
50969,udp,1
51085,icmp,1
51131,tcp,1
51204,tcp,1
51269,udp,1
51282,udp,1
51432,icmp,1
51438,icmp,1
51459,icmp,1
51570,udp,1
51644,icmp,1
51688,icmp,1
51936,udp,1
52109,udp,1
52207,tcp,1
52324,tcp,1
52451,icmp,1
52454,udp,1
52527,tcp,1
52724,icmp,1
52777,udp,1
52926,icmp,1
5296,tcp,1
53,icmp,203
53,tcp,191
53,udp,216
53015,udp,1
53029,udp,1
53033,icmp,1
5312,icmp,1
53133,udp,1
53246,icmp,1
53286,tcp,1
53308,icmp,1
53329,icmp,1
53376,udp,1
53433,udp,1
53453,tcp,1
53465,icmp,1
53498,tcp,1
53527,tcp,1
53603,icmp,1
53950,udp,1
5404,icmp,1
54146,tcp,1
54190,udp,1
54281,tcp,1
5432,icmp,208
5432,tcp,205
5432,udp,239
54323,udp,1
5437,udp,1
54424,udp,1
54460,tcp,1
54617,icmp,1
54683,udp,1
54690,tcp,1
54929,icmp,1
54975,udp,1
54977,udp,1
55020,udp,1
55049,udp,1
55064,tcp,1
55197,tcp,1
55246,tcp,1
55272,tcp,1
55321,icmp,1
55331,udp,1
55480,tcp,1
55497,udp,1
55546,tcp,1
55644,udp,1
55703,icmp,1
55774,udp,1
56045,tcp,1
56135,icmp,1
56192,udp,1
56246,tcp,1
5630,tcp,1
56314,tcp,1
56371,udp,1
56506,udp,1
56507,tcp,1
56658,tcp,1
5680,tcp,1
56864,udp,1
56896,icmp,1
5690,udp,1
56916,tcp,1
57027,udp,1
5718,icmp,1
5734,tcp,1
57475,tcp,1
5751,udp,1
57516,udp,1
57604,icmp,1
57698,tcp,1
57775,icmp,1
57853,udp,1
57912,tcp,1
57961,icmp,1
58023,udp,1
58107,tcp,1
58121,udp,1
58231,icmp,1
58293,icmp,1
58310,udp,1
58314,icmp,1
58566,tcp,1
58626,tcp,1
58676,udp,1
58721,icmp,1
58797,udp,1
5887,udp,1
58905,udp,1
58910,icmp,1
59141,udp,1
59144,udp,1
59279,tcp,1
5932,tcp,1
59366,icmp,1
59467,tcp,1
59550,tcp,1
59628,udp,1
59667,tcp,1
59960,tcp,1
60041,udp,1
60084,icmp,1
60238,tcp,1
60248,icmp,1
60342,tcp,1
60478,udp,1
60545,tcp,1
60696,tcp,1
60700,tcp,1
60748,udp,1
60792,tcp,1
60802,tcp,1
60809,udp,1
60896,udp,1
60902,udp,1
61050,udp,1
61087,icmp,1
61114,udp,1
61128,udp,1
61129,udp,1
6134,icmp,1
61374,tcp,1
61410,tcp,1
61794,icmp,1
61987,udp,1
61994,udp,1
61999,tcp,1
62092,tcp,1
62427,udp,1
62476,udp,1
62508,icmp,1
62512,icmp,1
62540,udp,1
62553,icmp,1
62593,icmp,1
62609,udp,1
62703,icmp,1
62768,icmp,1
62907,tcp,1
62986,tcp,1
63013,udp,1
63043,icmp,1
63122,udp,1
63218,icmp,1
63399,tcp,1
63546,tcp,1
63584,udp,1
63594,icmp,1
63615,udp,1
63854,udp,1
64228,tcp,1
64521,tcp,1
6453,udp,1
64623,udp,1
64626,tcp,1
64688,icmp,1
64716,icmp,1
6475,tcp,1
65130,udp,1
65187,icmp,1
65363,icmp,1
65382,icmp,1
65392,tcp,1
65430,tcp,1
65494,icmp,1
6577,udp,1
6622,udp,1
6740,udp,1
6972,udp,1
7000,icmp,1
7022,udp,1
7089,udp,1
7117,udp,1
7369,icmp,1
7443,icmp,1
7495,icmp,1
80,icmp,186
80,tcp,193
80,udp,208
8080,icmp,211
8080,tcp,201
8080,udp,192
8087,udp,1
