Tag Counts:
Tag,Count
dns,212
http,205
http_alt,225
https,178
mail_imap,210
mail_imap_ssl,194
mail_pop3,207
mail_smtp,197
mysql,208
postgresql,193
rdp,227
ssh,220
Untagged,7524

Port/Protocol Combination Counts:
Port,Protocol,Count
10108,udp,1
10164,icmp,1
10178,icmp,1
10461,udp,1
10553,tcp,1
10691,icmp,1
10757,icmp,1
10759,icmp,1
10776,icmp,1
10878,udp,1
110,icmp,199
110,tcp,207
110,udp,211
11060,udp,1
11288,icmp,1
11326,icmp,1
11401,udp,1
11432,tcp,1
11590,icmp,1
11630,udp,1
11650,tcp,1
11842,udp,1
11862,udp,1
11903,icmp,1
12110,tcp,1
123,icmp,198
123,tcp,237
123,udp,193
12369,tcp,1
12420,tcp,1
12448,udp,1
12461,icmp,1
12538,udp,1
12588,icmp,1
12612,tcp,1
12639,udp,1
12793,udp,1
12815,udp,1
12840,icmp,1
13071,tcp,1
13115,udp,1
13194,tcp,1
13311,udp,1
13349,tcp,1
13563,udp,1
1374,icmp,1
1389,icmp,1
13914,tcp,1
1392,tcp,1
1404,tcp,1
14157,udp,1
143,icmp,238
143,tcp,210
143,udp,209
14370,icmp,1
14400,tcp,1
14618,tcp,1
14790,udp,1
14871,tcp,1
14912,udp,1
14948,udp,1
14971,udp,1
15301,icmp,1
15372,tcp,1
15827,tcp,1
15874,icmp,1
15893,icmp,1
15930,udp,1
16056,icmp,1
16109,icmp,1
16129,tcp,1
16154,tcp,1
16213,tcp,1
16286,tcp,1
16415,icmp,1
16609,tcp,1
16610,tcp,1
1670,tcp,1
16820,icmp,1
16968,icmp,1
16970,icmp,1
17025,udp,1
17273,tcp,1
17383,udp,1
17445,udp,1
17478,icmp,1
17856,icmp,1
17903,icmp,1
18025,udp,1
18036,udp,1
18101,tcp,1
18109,tcp,1
18116,tcp,1
1818,tcp,1
18222,icmp,1
18424,tcp,1
18551,udp,1
18583,tcp,1
18657,udp,1
18716,udp,1
18899,icmp,1
18917,icmp,1
18989,icmp,1
19044,tcp,1
19084,tcp,1
1917,tcp,1
19212,icmp,1
19233,tcp,1
19330,icmp,1
19337,udp,1
19440,icmp,1
19518,udp,1
19531,tcp,1
1959,tcp,1
19625,tcp,1
19637,udp,1
19673,udp,1
19735,icmp,1
19992,icmp,1
20111,icmp,1
20141,udp,1
20176,udp,1
20314,udp,1
20668,tcp,1
20759,udp,1
20792,tcp,1
20855,icmp,1
21093,icmp,1
21136,icmp,1
21213,tcp,1
21226,icmp,1
2132,icmp,1
21370,udp,1
21389,udp,1
21554,icmp,1
21607,tcp,1
21666,udp,1
21783,icmp,1
21856,tcp,1
21889,udp,1
22,icmp,201
22,tcp,220
22,udp,223
22021,udp,1
22384,tcp,1
22414,icmp,1
22458,icmp,1
22477,icmp,1
22526,udp,1
22640,tcp,1
22797,tcp,1
22851,udp,1
2286,icmp,1
2297,icmp,1
22977,udp,1
23027,icmp,1
23062,tcp,1
23084,tcp,1
23118,icmp,1
23150,icmp,1
23279,tcp,1
23369,tcp,1
2343,icmp,1
23640,icmp,1
23782,icmp,1
23904,udp,1
23905,udp,1
23950,tcp,1
24111,tcp,1
24131,tcp,1
24162,tcp,1
24201,tcp,1
24277,tcp,1
24348,udp,1
24437,tcp,1
24447,icmp,1
24462,icmp,1
24483,icmp,1
24760,udp,1
24780,icmp,1
24815,icmp,1
24829,icmp,1
24882,tcp,1
24981,udp,1
24989,udp,1
25,icmp,209
25,tcp,197
25,udp,174
25350,tcp,1
2540,udp,1
25774,tcp,1
25936,tcp,1
2599,tcp,1
26047,udp,1
26100,tcp,1
26182,tcp,1
26493,icmp,1
26726,icmp,1
26733,tcp,1
26748,tcp,1
26780,icmp,1
27243,udp,1
27429,tcp,1
27546,tcp,1
27579,udp,1
27598,tcp,1
2779,icmp,1
27853,udp,1
28001,tcp,1
28007,icmp,1
28025,tcp,1
2804,icmp,1
28163,tcp,1
2833,icmp,1
28408,udp,1
28429,icmp,1
28555,udp,1
28590,tcp,1
28727,udp,1
28735,udp,1
28954,icmp,1
29003,icmp,1
2907,udp,1
29082,icmp,1
29285,icmp,1
29349,udp,1
29614,icmp,1
29670,icmp,1
29679,icmp,1
29806,udp,1
29822,tcp,1
29834,udp,1
29861,icmp,1
29928,icmp,1
29986,udp,1
30006,icmp,1
30017,icmp,1
30174,tcp,1
30217,udp,1
30230,tcp,1
30289,tcp,1
30379,tcp,1
30991,udp,1
31049,udp,1
31138,tcp,1
31141,icmp,1
3119,udp,1
31303,udp,1
31416,icmp,1
31438,udp,1
31439,udp,1
31480,tcp,1
31638,udp,1
31702,tcp,1
31709,udp,1
31777,udp,1
31849,icmp,1
31875,icmp,1
31897,icmp,1
3200,tcp,1
32042,tcp,1
32219,icmp,1
32512,udp,1
32588,tcp,1
32695,udp,1
3274,tcp,1
32943,udp,1
33029,udp,1
33031,tcp,1
33042,udp,1
3306,icmp,214
3306,tcp,208
3306,udp,223
33142,tcp,1
33289,icmp,1
33389,udp,1
33410,udp,1
33477,udp,1
33568,udp,1
33629,tcp,1
3364,tcp,1
33644,icmp,1
33790,udp,1
33861,udp,1
3389,icmp,236
3389,tcp,227
3389,udp,236
33960,udp,1
33974,icmp,1
33979,udp,1
34057,udp,1
34388,udp,1
34445,tcp,1
34508,icmp,1
34618,udp,1
34624,icmp,1
34761,tcp,1
34773,tcp,1
3478,udp,1
34837,tcp,1
35012,udp,1
35120,tcp,1
35131,tcp,1
35142,udp,1
35268,udp,1
35536,icmp,1
35583,tcp,1
35657,tcp,1
35675,udp,1
35696,tcp,1
35732,icmp,1
35954,udp,1
35995,udp,1
36039,udp,1
36097,udp,1
36193,udp,1
36240,icmp,1
36339,udp,1
36513,tcp,1
36564,tcp,1
36781,udp,1
36855,icmp,1
36944,udp,1
37072,icmp,1
37090,udp,1
37110,udp,1
3719,udp,1
37348,udp,1
37482,udp,1
37485,udp,1
37814,udp,1
37829,icmp,1
37930,tcp,1
38226,icmp,1
38420,tcp,1
38549,icmp,1
38581,icmp,1
38728,udp,1
38788,tcp,1
38789,tcp,1
38884,icmp,1
38895,icmp,1
39040,udp,1
39184,udp,1
39211,udp,1
39355,tcp,1
39467,icmp,1
39497,tcp,1
39539,udp,1
39578,tcp,1
40155,tcp,1
40192,udp,1
40246,tcp,1
40253,tcp,1
40254,udp,1
40258,tcp,1
40318,udp,1
40323,tcp,1
40441,tcp,1
40513,icmp,1
40565,icmp,1
40629,icmp,1
40809,udp,1
4083,udp,1
40871,icmp,1
4090,tcp,1
41048,tcp,1
41115,icmp,1
41206,udp,1
41238,icmp,1
41244,icmp,1
41311,udp,1
41335,tcp,1
