Tag Counts:
Tag,Count
dns,206
http,207
http_alt,201
https,196
mail_imap,211
mail_imap_ssl,202
mail_pop3,203
mail_smtp,201
mysql,207
postgresql,227
rdp,219
ssh,196
Untagged,7524

Port/Protocol Combination Counts:
Port,Protocol,Count
10041,tcp,1
10430,icmp,1
10648,udp,1
10863,icmp,1
110,icmp,230
110,tcp,203
110,udp,199
11299,icmp,1
1131,udp,1
11396,icmp,1
11463,tcp,1
11765,icmp,1
11934,udp,1
12045,udp,1
12283,tcp,1
123,icmp,214
123,tcp,209
123,udp,221
1231,tcp,1
12325,tcp,1
1241,icmp,1
1269,icmp,1
12702,tcp,1
13102,tcp,1
1316,udp,1
13458,tcp,1
13702,icmp,1
13713,icmp,1
1377,icmp,1
13772,tcp,1
13927,udp,1
14110,icmp,1
143,icmp,194
143,tcp,211
143,udp,178
14351,tcp,1
14402,udp,1
14499,udp,1
14809,udp,1
14840,udp,1
14918,udp,1
14920,icmp,1
15071,udp,1
15770,udp,1
15851,udp,1
15870,udp,1
15929,tcp,1
16019,tcp,1
16035,udp,1
16198,tcp,1
16257,icmp,1
16358,icmp,1
16432,icmp,1
16612,udp,1
16623,tcp,1
1664,tcp,1
16764,udp,1
16917,udp,1
17308,tcp,1
17347,tcp,1
17357,tcp,1
17436,tcp,1
17464,icmp,1
17473,tcp,1
17478,udp,1
17556,icmp,1
17619,tcp,1
17708,icmp,1
17709,tcp,1
17807,tcp,1
18166,udp,1
18256,tcp,1
18402,tcp,1
18436,tcp,1
1847,udp,1
18712,udp,1
18990,tcp,1
19004,tcp,1
1919,icmp,1
19195,udp,1
19209,icmp,1
19278,icmp,1
19321,tcp,1
19469,icmp,1
1951,icmp,1
19660,tcp,1
19678,icmp,1
19695,tcp,1
1972,udp,1
19829,udp,1
1984,icmp,1
19840,udp,1
19924,tcp,1
20012,udp,1
20056,icmp,1
20088,icmp,1
20089,tcp,1
20166,icmp,1
20186,icmp,1
20222,icmp,1
20360,udp,1
20432,tcp,1
20711,icmp,1
2076,tcp,1
20770,icmp,1
2084,icmp,1
20875,tcp,1
20942,tcp,1
21136,icmp,1
21220,icmp,1
21360,tcp,1
21378,tcp,1
21421,icmp,1
21476,tcp,1
21843,icmp,1
21954,udp,1
22,icmp,215
22,tcp,196
22,udp,193
22000,udp,1
22003,icmp,1
22213,tcp,1
22294,udp,1
22342,udp,1
22470,udp,1
22603,icmp,1
22710,tcp,1
22788,udp,1
22900,tcp,1
22987,icmp,1
23031,tcp,1
23145,udp,1
23223,tcp,1
23226,udp,1
2323,icmp,1
23304,udp,1
23562,tcp,1
23784,udp,1
23882,icmp,1
23882,udp,1
23940,icmp,1
24073,icmp,1
24175,tcp,1
24181,udp,1
24300,udp,1
24444,udp,1
24476,tcp,1
24517,udp,1
24531,tcp,1
24552,tcp,1
24554,udp,1
24824,udp,1
24890,tcp,1
24922,tcp,1
24949,icmp,1
25,icmp,218
25,tcp,201
25,udp,209
25159,tcp,1
25186,udp,1
25271,tcp,1
25358,icmp,1
25543,icmp,1
25642,udp,1
25836,tcp,1
25876,udp,1
26017,icmp,1
26182,tcp,1
26223,udp,1
26233,udp,1
2661,tcp,1
26698,tcp,1
26843,udp,1
26894,icmp,1
26943,udp,1
27006,tcp,1
27441,tcp,1
27577,udp,1
2769,udp,1
27702,icmp,1
27814,udp,1
27923,icmp,1
28188,icmp,1
28322,udp,1
28519,tcp,1
28630,icmp,1
28701,tcp,1
28780,tcp,1
28916,icmp,1
28975,icmp,1
2907,tcp,1
29155,udp,1
29306,udp,1
2935,udp,1
29414,icmp,1
29433,udp,1
29434,icmp,1
2956,udp,1
29588,udp,1
29666,udp,1
29839,icmp,1
29898,udp,1
2996,icmp,1
29960,tcp,1
30266,udp,1
30286,udp,1
30348,udp,1
30476,tcp,1
30519,icmp,1
30620,udp,1
30700,tcp,1
30741,icmp,1
30918,udp,1
3094,tcp,1
31132,udp,1
31269,icmp,1
31348,udp,1
3136,icmp,1
31412,udp,1
31463,icmp,1
31548,udp,1
31656,udp,1
31682,tcp,1
31698,udp,1
31854,udp,1
32013,tcp,1
32080,udp,1
32139,udp,1
32161,icmp,1
32192,udp,1
32211,icmp,1
32265,tcp,1
32341,udp,1
32354,udp,1
32379,tcp,1
32380,tcp,1
32537,icmp,1
32559,icmp,1
3277,icmp,1
32837,udp,1
32854,tcp,1
32893,tcp,1
3306,icmp,193
3306,tcp,207
3306,udp,209
3324,icmp,1
33255,icmp,1
33382,udp,1
33432,tcp,1
33473,tcp,1
33505,tcp,1
33507,udp,1
33515,tcp,1
33680,icmp,1
33689,icmp,1
33790,icmp,1
33816,tcp,1
33847,icmp,1
3385,tcp,1
3389,icmp,224
3389,tcp,219
3389,udp,213
33960,udp,1
34197,udp,1
34291,tcp,1
34346,udp,1
34351,udp,1
34521,icmp,1
34635,icmp,1
35059,icmp,1
3525,tcp,1
35322,tcp,1
35531,tcp,1
35544,tcp,1
35856,udp,1
35888,icmp,1
35893,icmp,1
36201,tcp,1
36436,tcp,1
36863,tcp,1
3689,tcp,1
36967,icmp,1
37006,icmp,1
37134,udp,1
37263,udp,1
37414,udp,1
37480,icmp,1
37790,udp,1
38024,udp,1
38049,tcp,1
38071,tcp,1
38192,icmp,1
38223,icmp,1
38313,tcp,1
38322,icmp,1
38399,udp,1
38448,icmp,1
38515,icmp,1
38524,udp,1
38539,tcp,1
38679,udp,1
38721,tcp,1
38763,udp,1
38786,tcp,1
3881,udp,1
38894,icmp,1
38898,tcp,1
39029,tcp,1
39300,tcp,1
3936,icmp,1
39511,tcp,1
39580,tcp,1
39657,icmp,1
39885,tcp,1
39915,tcp,1
40059,tcp,1
40077,icmp,1
40103,tcp,1
40227,icmp,1
40273,icmp,1
4035,tcp,1
40815,udp,1
40892,tcp,1
40952,icmp,1
41018,udp,1
41050,tcp,1
41131,tcp,1
41350,udp,1
41358,udp,1
41471,udp,1
4153,icmp,1
41540,tcp,1
41597,tcp,1
41832,icmp,1
41911,tcp,1
42004,udp,1
42151,icmp,1
42157,tcp,1
42254,icmp,1
42463,tcp,1
42513,tcp,1
42662,icmp,1
42666,tcp,1
42774,udp,1
42794,icmp,1
42830,tcp,1
42864,tcp,1
43148,udp,1
43190,icmp,1
43279,udp,1
43350,tcp,1
43646,tcp,1
4369,tcp,1
43825,udp,1
44121,udp,1
44158,icmp,1
44169,udp,1
44174,icmp,1
44175,udp,1
44264,tcp,1
44288,tcp,1
443,icmp,237
443,tcp,196
443,udp,223
44552,udp,1
44614,udp,1
44620,tcp,1
44699,udp,1
44778,icmp,1
44978,udp,1
45101,icmp,1
45193,tcp,1
45280,udp,1
45633,udp,1
45691,udp,1
45711,tcp,1
45936,tcp,1
45962,icmp,1
46085,icmp,1
46217,tcp,1
46358,tcp,1
46415,udp,1
46457,tcp,1
465,icmp,217
465,tcp,191
465,udp,216
46740,icmp,1
46784,tcp,1
46794,udp,1
46887,tcp,1
4711,tcp,1
47269,icmp,1
47284,icmp,1
47462,icmp,1
4750,icmp,1
47701,udp,1
47704,udp,1
47734,udp,1
47863,udp,1
48048,icmp,1
48227,icmp,1
48324,tcp,1
48352,icmp,1
48397,tcp,1
48550,icmp,1
4858,udp,1
48658,tcp,1
48696,icmp,1
48796,tcp,1
48871,udp,1
49084,icmp,1
49284,tcp,1
49500,icmp,1
4953,udp,1
49543,icmp,1
49742,icmp,1
49772,tcp,1
49936,udp,1
50030,icmp,1
50074,icmp,1
50233,icmp,1
50296,udp,1
50322,icmp,1
50449,udp,1
50520,tcp,1
50572,tcp,1
50633,tcp,1
50660,udp,1
50687,icmp,1
50860,icmp,1
50867,tcp,1
51121,icmp,1
51208,udp,1
51260,udp,1
51338,udp,1
51500,udp,1
51610,tcp,1
51923,icmp,1
51979,tcp,1
5207,udp,1
5218,icmp,1
5222,icmp,1
5223,udp,1
52423,tcp,1
5250,udp,1
52875,tcp,1
53,icmp,191
53,tcp,206
53,udp,206
53092,udp,1
53185,tcp,1
53449,tcp,1
53567,tcp,1
53667,icmp,1
54259,udp,1
5432,icmp,211
5432,tcp,227
5432,udp,200
54359,icmp,1
54383,icmp,1
54431,udp,1
54558,tcp,1
54617,udp,1
54641,icmp,1
54673,tcp,1
54935,icmp,1
5523,icmp,1
55302,icmp,1
55478,tcp,1
55526,tcp,1
5555,icmp,1
55747,icmp,1
55794,tcp,1
55982,tcp,1
56084,tcp,1
56160,udp,1
56215,tcp,1
56267,icmp,1
56360,tcp,1
56464,udp,1
56485,icmp,1
5654,udp,1
56582,tcp,1
56613,udp,1
56625,icmp,1
56625,tcp,1
56747,icmp,1
56852,udp,1
5709,tcp,1
57190,tcp,1
57411,udp,1
57518,tcp,1
57582,icmp,1
57833,tcp,1
57873,udp,1
57937,udp,1
57956,udp,1
58102,udp,1
58117,icmp,1
5813,icmp,1
5820,icmp,1
58409,udp,1
58432,udp,1
58583,udp,1
58713,tcp,1
58871,tcp,1
59058,icmp,1
59245,icmp,1
59306,udp,1
59455,udp,1
59466,udp,1
59493,icmp,1
5955,tcp,1
59601,icmp,1
59637,icmp,1
59778,icmp,1
59877,tcp,1
59882,icmp,1
60078,icmp,1
60084,udp,1
60210,udp,1
60240,tcp,1
60299,udp,1
60405,tcp,1
60439,udp,1
60649,tcp,1
60693,icmp,1
60749,tcp,1
60761,icmp,1
60974,udp,1
61078,udp,1
61083,tcp,1
61181,icmp,1
61239,udp,1
61391,tcp,1
61416,udp,1
61485,udp,1
61493,tcp,1
61715,tcp,1
61720,icmp,1
61937,icmp,1
61958,icmp,1
62155,icmp,1
62220,tcp,1
62243,icmp,1
62310,icmp,1
62594,tcp,1
62700,tcp,1
62901,udp,1
63121,icmp,1
63126,udp,1
63322,icmp,1
63327,udp,1
63437,tcp,1
63447,tcp,1
63466,tcp,1
63511,tcp,1
63837,udp,1
63895,tcp,1
63907,tcp,1
64150,tcp,1
64236,icmp,1
64264,udp,1
64456,icmp,1
64494,icmp,1
64620,tcp,1
6477,icmp,1
64771,icmp,1
64779,tcp,1
64789,udp,1
64813,tcp,1
64843,udp,1
6491,udp,1
65063,tcp,1
65157,icmp,1
65183,icmp,1
65206,udp,1
65333,icmp,1
65334,icmp,1
65378,icmp,1
65388,tcp,1
65465,tcp,1
65518,icmp,1
6733,udp,1
6849,udp,1
7025,icmp,1
7203,icmp,1
7319,tcp,1
7320,tcp,1
7480,udp,1
7506,tcp,1
7526,tcp,1
7679,udp,1
7735,tcp,1
7841,udp,1
7849,tcp,1
7961,icmp,1
80,icmp,233
80,tcp,207
80,udp,215
8016,udp,1
8080,icmp,189
8080,tcp,201
8080,udp,211
8267,icmp,1
8325,tcp,1
8333,icmp,1
8347,icmp,1
8394,tcp,1
8463,tcp,1
8512,udp,1
8605,icmp,1
8619,tcp,1
8676,icmp,1
8723,tcp,1
8748,icmp,1
8806,icmp,1
8834,tcp,1
9205,udp,1
9277,udp,1
9355,icmp,1
9404,icmp,1
9449,udp,1
9450,udp,1
