Tag Counts:
Tag,Count
dns,204
http,207
http_alt,189
https,213
mail_imap,234
mail_imap_ssl,221
mail_pop3,195
mail_smtp,211
mysql,210
postgresql,190
rdp,217
ssh,211
Untagged,7498

Port/Protocol Combination Counts:
Port,Protocol,Count
10028,tcp,1
10047,icmp,1
10134,udp,1
10441,udp,1
1045,icmp,1
10519,tcp,1
10618,icmp,1
10744,tcp,1
10825,udp,1
10885,udp,1
110,icmp,194
110,tcp,195
110,udp,239
11285,udp,1
11407,udp,1
11530,udp,1
11656,udp,1
11890,tcp,1
12026,icmp,1
12058,icmp,1
12070,tcp,1
12120,icmp,1
12144,udp,1
12177,udp,1
12184,tcp,1
1224,icmp,1
123,icmp,207
123,tcp,199
123,udp,233
1243,icmp,1
12449,icmp,1
12614,icmp,1
12635,udp,1
12675,icmp,1
12712,icmp,1
12732,icmp,1
12739,udp,1
12831,udp,1
12924,icmp,1
12928,icmp,1
13109,udp,1
13154,udp,1
13548,icmp,1
13558,tcp,1
13625,tcp,1
13660,tcp,1
13852,udp,1
13889,udp,1
14184,icmp,1
14256,udp,1
143,icmp,194
143,tcp,234
143,udp,211
14354,tcp,1
14377,icmp,1
14645,udp,1
14686,udp,1
1475,icmp,1
14751,udp,1
14795,icmp,1
14835,udp,1
14909,icmp,1
15034,udp,1
15146,tcp,1
15485,udp,1
15507,udp,1
15566,icmp,1
15930,udp,1
15944,icmp,1
15981,udp,1
16036,tcp,1
16120,tcp,1
16260,icmp,1
16262,udp,1
16521,udp,1
16645,tcp,1
16738,tcp,1
16770,udp,1
16979,udp,1
17151,udp,1
17236,tcp,1
17275,icmp,1
17326,icmp,1
17336,udp,1
17409,icmp,1
17494,udp,1
1757,udp,1
17575,icmp,1
17642,tcp,1
17680,icmp,1
17728,tcp,1
17746,tcp,1
18124,udp,1
18183,icmp,1
18308,tcp,1
18425,icmp,1
18514,icmp,1
18553,tcp,1
18581,udp,1
18668,tcp,1
18795,tcp,1
18884,tcp,1
18886,tcp,1
19030,udp,1
19164,tcp,1
19165,udp,1
19247,udp,1
19295,udp,1
19315,tcp,1
19373,udp,1
19451,udp,1
19642,tcp,1
19706,tcp,1
19847,tcp,1
19858,tcp,1
19930,udp,1
19952,tcp,1
20015,udp,1
20199,udp,1
20318,udp,1
20361,tcp,1
20528,tcp,1
20633,icmp,1
20641,icmp,1
20744,tcp,1
20787,udp,1
20832,udp,1
2126,tcp,1
21522,udp,1
21595,udp,1
21621,tcp,1
21631,udp,1
21704,udp,1
21719,udp,1
21842,tcp,1
21885,udp,1
21965,udp,1
22,icmp,226
22,tcp,211
22,udp,238
2205,udp,1
22092,udp,1
22110,udp,1
2232,tcp,1
22334,icmp,1
22394,icmp,1
2255,tcp,1
22595,tcp,1
22613,tcp,1
22675,icmp,1
22687,udp,1
22725,icmp,1
22864,tcp,1
23136,icmp,1
23206,tcp,1
23213,tcp,1
23452,tcp,1
23646,udp,1
2365,icmp,1
24188,icmp,1
24242,udp,1
24292,icmp,1
24416,icmp,1
2463,icmp,1
24692,tcp,1
24750,tcp,1
24793,udp,1
24872,tcp,1
2491,icmp,1
25,icmp,227
25,tcp,211
25,udp,205
25196,tcp,1
25270,tcp,1
25283,udp,1
25316,udp,1
25338,udp,1
25359,icmp,1
25465,icmp,1
25488,tcp,1
25575,tcp,1
25837,icmp,1
25937,icmp,1
26019,udp,1
26048,udp,1
26105,udp,1
26142,icmp,1
26146,udp,1
26176,icmp,1
26297,icmp,1
26297,udp,1
26343,icmp,1
26480,udp,1
26543,udp,1
26711,icmp,1
26824,udp,1
26831,tcp,1
26840,udp,1
27112,tcp,1
27287,tcp,1
27349,udp,1
27379,tcp,1
27433,icmp,1
27603,tcp,1
27630,tcp,1
27646,tcp,1
27685,icmp,1
27739,udp,1
27755,tcp,1
27857,tcp,1
27888,udp,1
2793,icmp,1
28014,udp,1
28016,icmp,1
28163,icmp,1
28479,udp,1
28595,udp,1
28645,icmp,1
28759,icmp,1
28869,tcp,1
29575,tcp,1
29907,icmp,1
29956,tcp,1
30143,udp,1
30235,tcp,1
30341,udp,1
30585,icmp,1
3067,icmp,1
30775,icmp,1
30970,tcp,1
31033,tcp,1
31077,icmp,1
31091,icmp,1
31386,icmp,1
31491,tcp,1
31535,icmp,1
31563,tcp,1
31658,icmp,1
31735,tcp,1
31758,udp,1
31825,icmp,1
32048,udp,1
32135,tcp,1
32187,tcp,1
32204,tcp,1
32478,icmp,1
32674,tcp,1
32712,icmp,1
3306,icmp,190
3306,tcp,210
3306,udp,206
33121,icmp,1
33676,icmp,1
33684,tcp,1
3380,tcp,1
3389,icmp,176
3389,tcp,217
3389,udp,222
33979,udp,1
34077,tcp,1
3412,icmp,1
34318,udp,1
34360,tcp,1
34432,udp,1
34443,tcp,1
34498,icmp,1
34525,icmp,1
3458,tcp,1
34598,icmp,1
34740,icmp,1
34890,udp,1
34912,icmp,1
34989,udp,1
